"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User should be able to find a project by its name","Surefire suite","2026-07-29","skipped","2026-07-29","com.example.teamcity.api.SearchProjectTest","Surefire test","com.example.teamcity.api.SearchProjectTest","userSearchProjectByNameTest"
"","1","Project admin should not be able to create build type for not their project","Surefire suite","2026-07-29","skipped","2026-07-29","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest"
"","0","cleanUpServerAuthSettings","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","cleanUpServerAuthSettings"
"","1","User should be able to create build type","Surefire suite","2026-07-29","skipped","2026-07-29","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","4","setUpServerAuthSettings","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","setUpServerAuthSettings"
"","1","Project admin should be able to create build type for their project","Surefire suite","2026-07-29","skipped","2026-07-29","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest"
"","78121","setupTeamCityServerTest","Surefire suite","2026-07-29","passed","2026-07-29","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","2","User should not be able to create two build types with the same id","Surefire suite","2026-07-29","skipped","2026-07-29","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest"
"","0","User should be able to start build (with WireMock)","Surefire suite","2026-07-29","skipped","2026-07-29","com.example.teamcity.api.StartBuildTest","Surefire test","com.example.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest"
"","0","Build type should be started successfully with a echo 'Hello, world!'","Surefire suite","2026-07-29","skipped","2026-07-29","com.example.teamcity.api.BuildTypeTest","Surefire test","com.example.teamcity.api.BuildTypeTest","startBuildTypeWithAMessage"
